,day,views,likes,dislikes
0,2021-01-01,1155,35,2
1,2021-01-02,1182,15,
2,2021-01-03,1202,24,
3,2021-01-04,1356,26,
4,2021-01-05,1300,24,1
5,2021-01-06,1253,21,1
6,2021-01-07,1302,24,
7,2021-01-08,1251,25,
8,2021-01-09,1257,15,1
9,2021-01-10,1244,21,
10,2021-01-11,1430,38,
11,2021-01-12,1306,21,1
12,2021-01-13,1469,35,3
13,2021-01-14,1620,41,-1
14,2021-01-15,1277,28,
15,2021-01-16,1348,21,
16,2021-01-17,1322,18,
17,2021-01-18,1374,16,1
18,2021-01-19,1334,8,1
19,2021-01-20,1253,27,
20,2021-01-21,1401,24,2
21,2021-01-22,1208,25,
22,2021-01-23,1339,25,1
23,2021-01-24,1579,26,3
24,2021-01-25,1361,20,
25,2021-01-26,1475,26,1
26,2021-01-27,1436,23,
27,2021-01-28,1331,9,1
28,2021-01-29,1437,43,
29,2021-01-30,1329,21,
30,2021-01-31,1490,25,1
31,2021-02-01,1380,22,
32,2021-02-02,1453,24,-1
33,2021-02-03,1464,28,1
34,2021-02-04,1352,35,1
35,2021-02-05,1282,15,
36,2021-02-06,1314,21,
37,2021-02-07,1241,17,
38,2021-02-08,1391,10,1
39,2021-02-09,1498,7,4
40,2021-02-10,1390,19,1
41,2021-02-11,1401,23,
42,2021-02-12,1476,27,
43,2021-02-13,1361,24,1
44,2021-02-14,1335,21,1
45,2021-02-15,1376,12,2
46,2021-02-16,1212,8,1
47,2021-02-17,1523,38,
48,2021-02-18,1740,58,3
49,2021-02-19,1444,22,1
50,2021-02-20,1346,18,3
51,2021-02-21,1141,22,
52,2021-02-22,1392,19,
53,2021-02-23,1299,25,
54,2021-02-24,1398,19,
55,2021-02-25,1399,48,
56,2021-02-26,1390,30,
57,2021-02-27,1281,10,1
58,2021-02-28,1231,15,1
59,2021-03-01,1357,26,2
60,2021-03-02,1554,38,2
61,2021-03-03,1406,28,1
62,2021-03-04,1407,36,
63,2021-03-05,1178,3,1
64,2021-03-06,1234,19,3
65,2021-03-07,1191,21,-1
66,2021-03-08,1146,28,1
67,2021-03-09,1369,27,
68,2021-03-10,1072,26,1
69,2021-03-11,1288,38,1
70,2021-03-12,1424,45,
71,2021-03-13,1210,21,
72,2021-03-14,1108,21,
73,2021-03-15,1184,24,1
74,2021-03-16,1258,17,
75,2021-03-17,1507,37,2
76,2021-03-18,1202,47,1
77,2021-03-19,1216,26,
78,2021-03-20,1305,13,
79,2021-03-21,1205,11,
80,2021-03-22,1221,23,
81,2021-03-23,1239,20,
82,2021-03-24,1263,24,
83,2021-03-25,1319,25,1
84,2021-03-26,1518,13,
85,2021-03-27,1189,20,1
86,2021-03-28,1187,25,1
87,2021-03-29,1234,21,2
88,2021-03-30,1341,26,2
89,2021-03-31,1266,41,
